Device name,Latest risk score,Operating system,IP address,Last user,Highly-exploitable CVEs,Discovered by,First seen,Last detected
TPV-191-002,0,Windows 10 10.0 (Build 17763),10.1.191.2,,0,Apex One as a Service,2022-11-29 18:28:27,2023-08-16 15:45:20
TPV-074-001,0,Windows 10 10.0 (Build 17763),10.1.74.1,,0,"Trend Vision One Endpoint Sensor, Apex One as a Service",2022-03-29 14:04:18,2023-08-16 09:07:10
..localmachine,0,,172.20.10.18,,0,Trend Vision One Endpoint Sensor,2023-09-01 18:09:12,2023-10-31 16:08:44
LP-009-4,0,Windows 10 10.0 (Build 19045),10.1.9.2,,0,"Trend Vision One Endpoint Sensor, Apex One as a Service",2021-09-21 23:14:13,2023-08-16 07:07:31
TPV-318-001,0,Windows 10 10.0 (Build 17763),10.2.18.1,,0,"Trend Vision One Endpoint Sensor, Apex One as a Service",2023-01-12 06:47:07,2023-08-16 08:27:45
LP-021-4,0,Windows 11 10.0 (Build 22621),10.1.21.4,,0,"Trend Vision One Endpoint Sensor, Apex One as a Service",2021-11-04 16:24:16,2023-08-16 09:25:20
LP401-ATELIER-2,0,Windows 7 6.1 (Build 7601),10.2.101.6,Système,0,Apex One as a Service,2023-10-10 10:58:33,2023-10-11 01:29:08
TPV-346-001,0,Windows 10 10.0 (Build 17763),10.2.11.1,,0,Apex One as a Service,2023-05-04 22:05:29,2023-08-16 08:18:33
TPV-064-002,0,Windows 10 10.0 (Build 17763),10.1.64.2,,0,"Trend Vision One Endpoint Sensor, Apex One as a Service",2022-06-01 13:45:48,2023-08-16 08:30:49
TPV-422-001,0,Windows 10 10.0 (Build 17763),10.2.128.7,,0,Apex One as a Service,2023-01-16 04:15:34,2023-08-16 16:04:41
TPV-143-001,0,Windows 10 10.0 (Build 17763),10.1.143.1,,0,"Trend Vision One Endpoint Sensor, Apex One as a Service",2023-03-15 21:44:38,2023-08-16 06:57:21
LP-196-5,0,Windows 10 10.0 (Build 19045),10.1.196.3,,0,Apex One as a Service,2021-09-29 12:16:27,2023-08-16 17:26:40
LAP-016-4,0,Windows 10 10.0 (Build 19045),10.1.16.5,,0,Apex One as a Service,2022-05-12 08:16:04,2023-08-16 07:28:57
LAP-426-3,0,Windows 10 10.0 (Build 19045),10.2.126.8,,0,"Trend Vision One Endpoint Sensor, Apex One as a Service",2022-01-11 16:27:08,2023-08-16 15:21:36
10.1.143.81,0,,10.1.143.81,,0,Apex One as a Service,2023-09-15 06:03:22,2023-10-25 08:10:30
LAP-141-7,0,Windows 10 10.0 (Build 19045),10.1.141.6,,0,Apex One as a Service,2021-09-21 22:11:23,2023-08-17 11:36:44
10.1.75.1,0,,10.1.75.1,,0,Trend Vision One Endpoint Sensor,2023-07-13 11:12:58,2023-10-31 16:30:11
TPV-305-001,0,Windows 10 10.0 (Build 17763),10.2.5.1,,0,"Trend Vision One Endpoint Sensor, Apex One as a Service",2022-05-23 11:45:08,2023-08-16 07:13:36
TPV-004-004,0,Windows 10 10.0 (Build 17763),10.1.4.2,,0,"Trend Vision One Endpoint Sensor, Apex One as a Service",2022-09-10 06:43:29,2023-08-16 07:26:52
10.2.114.80,0,,10.2.114.80,,0,Trend Vision One Endpoint Sensor,2023-09-16 02:41:43,2023-10-31 15:56:01
LP-306-3,0,Windows 10 10.0 (Build 19045),10.2.6.3,,0,Apex One as a Service,2021-09-21 22:03:22,2023-08-16 15:50:28
10.1.228.80,0,,10.1.228.80,,0,Apex One as a Service,2023-09-18 15:10:14,2023-10-18 00:52:36
10.1.155.80,0,,10.1.155.80,,0,"Trend Vision One Endpoint Sensor, Apex One as a Service",2023-10-11 04:45:41,2023-10-18 16:58:23
LP-033-4,0,Windows 10 10.0 (Build 19045),10.1.33.5,,0,Apex One as a Service,2021-09-27 22:05:50,2023-08-16 08:16:30
TPV-003-001,0,Windows 10 10.0 (Build 17763),10.1.3.2,,0,"Trend Vision One Endpoint Sensor, Apex One as a Service",2022-07-03 07:02:49,2023-08-16 16:08:44
LP-316-4,0,Windows 10 10.0 (Build 19045),10.2.16.6,,0,Apex One as a Service,2021-09-30 15:24:46,2023-08-16 08:26:45
DESKTOP-553JPSE,0,Windows 10 10.0 (Build 19044),10.3.103.82,,0,Trend Vision One Agent,2023-10-11 11:26:13,2023-10-11 11:26:13
TPV-404-001,0,Windows 10 10.0 (Build 17763),10.2.104.3,,0,"Trend Vision One Endpoint Sensor, Apex One as a Service",2023-03-15 00:06:57,2023-08-16 02:21:47
10.4.1.230,0,,10.4.1.230,,0,Endpoint & Workload Security,2023-09-15 05:41:01,2023-10-31 18:30:00
10.4.1.197,0,,10.4.1.197,,0,,2023-01-12 03:15:43,2023-10-18 13:38:55
TPV-422-002,0,Windows 10 10.0 (Build 17763),10.2.122.2,,0,"Trend Vision One Endpoint Sensor, Apex One as a Service",2023-02-04 06:17:16,2023-08-16 02:04:40
AliceBob,0,Mac OS 12.6.8,10.3.0.36,,0,Apex One as a Service,2022-06-13 06:02:30,2023-09-12 23:01:34
TPV-072-001,0,Windows 10 10.0 (Build 17763),10.1.72.1,,0,"Trend Vision One Endpoint Sensor, Apex One as a Service",2022-09-22 14:21:38,2023-08-16 08:00:55
10.1.20.80,0,,10.1.20.80,,0,Trend Vision One Endpoint Sensor,2023-07-13 11:13:04,2023-10-31 17:19:26
TPV-116-001,0,Windows 10 10.0 (Build 17763),10.1.116.1,,0,"Trend Vision One Endpoint Sensor, Apex One as a Service",2022-04-11 14:58:38,2023-08-16 08:27:46
TPV-067-001,0,Windows 10 10.0 (Build 17763),10.1.67.1,,0,Apex One as a Service,2022-05-23 12:10:02,2023-08-16 08:15:26
LAP-401-002,0,Windows 11 10.0 (Build 22000),10.2.101.12,,0,Apex One as a Service,2023-05-31 22:46:42,2023-08-16 15:23:40
LP-317-1,0,,10.2.17.11,,0,Trend Vision One Endpoint Sensor,2023-09-15 06:06:20,2023-10-31 18:27:36
TPV-028-2,0,Windows 10 10.0 (Build 17763),10.1.28.2,,0,"Trend Vision One Endpoint Sensor, Apex One as a Service",2022-03-24 18:03:17,2023-08-16 08:32:51
LP-194-3,0,Windows 10 10.0 (Build 19045),10.1.194.3,,0,Apex One as a Service,2021-11-12 14:54:29,2023-08-16 08:10:15
TPV-005-002,0,Windows 10 10.0 (Build 17763),10.1.5.2,,0,Apex One as a Service,2023-08-25 08:32:20,2023-08-26 01:30:32
DESKTOP-SLEEC0M,0,Windows 10 10.0 (Build 19044),192.168.10.90,,0,Trend Vision One Agent,2023-09-06 14:24:49,2023-10-23 07:06:06
10.3.0.83,0,,10.3.0.83,,0,Endpoint & Workload Security,2023-09-15 05:40:57,2023-10-31 18:30:00
